Timestamp (ms),Wall Time,Test Master Time,Sequence Time,FPD-1,FPD-2,FPD-3,OPD-1,OPD-2,OPD-3,AP-1,PC-1,PC-2,VBAT,VCOMP,ICOMP,TC-1,TC-COMP
11769232,18:11:01.30,0,0,Main,-3.180557,502.336628,0.000000,-0.668906,1397.800291,0.000000,100.429836,0.238377,1.433653,25.215737,1.881432,0.732338,34.195476,44.941329
11769235,18:11:01.30,0,0,Main,-3.180557,502.336628,0.000000,-0.668906,1397.800291,0.000000,100.429836,0.238377,1.433653,25.215737,1.881432,0.732338,34.195476,44.941329
11769236,18:11:01.30,0,0,Main,-3.999306,500.683313,0.000000,-0.527438,1399.335600,0.000000,101.260055,0.038400,1.331451,25.211893,1.880201,0.731801,34.195476,44.941329
11769242,18:11:01.30,0,0,Main,-4.681597,499.764804,0.000000,-0.291657,1400.419347,0.000000,101.490671,0.246069,1.134910,25.209758,1.881186,0.729961,34.195476,44.943542
11769265,18:11:01.30,0,0,Main,-0.542364,502.704032,0.000000,1.405962,1395.452171,0.000000,99.138384,-0.069280,1.174218,25.248196,1.883893,0.733182,34.195476,44.943542
11769269,18:11:01.30,0,0,Main,-2.179863,502.198852,0.000000,1.830367,1396.490762,0.000000,98.492659,-0.015440,1.394345,25.232393,1.884878,0.734025,34.195476,44.943542
11769272,18:11:01.30,0,0,Main,-2.179863,502.198852,0.000000,1.830367,1396.490762,0.000000,98.492659,-0.015440,1.394345,25.232393,1.884878,0.734025,34.195476,44.943542
11769274,18:11:01.30,0,0,Main,-2.907640,502.336628,0.000000,2.160460,1397.935759,0.000000,101.029438,0.161463,1.441514,25.221716,1.881432,0.732645,34.195476,44.943542
11769275,18:11:01.30,0,0,Main,-2.907640,502.336628,0.000000,2.160460,1397.935759,0.000000,101.029438,0.161463,1.441514,25.221716,1.881432,0.732645,34.195476,44.943542
11769279,18:11:01.30,0,0,Main,-2.907640,502.336628,0.000000,2.160460,1397.935759,0.000000,101.029438,0.161463,1.441514,25.221716,1.881432,0.732645,34.195476,44.684687
11769361,18:11:01.30,0,0,Main,-4.818056,500.867014,0.000000,0.840089,1399.200131,0.000000,102.044150,0.092240,0.993400,25.219581,1.876755,0.729884,34.189961,44.682471
11769391,18:11:01.30,0,0,Main,-0.496878,504.035870,0.000000,0.934401,1393.600769,0.000000,99.276754,-0.061589,0.867614,25.252893,1.886108,0.731725,34.189961,44.682471
11769392,18:11:01.30,0,0,Main,-0.496878,504.035870,0.000000,0.934401,1393.600769,0.000000,99.276754,-0.061589,0.867614,25.252893,1.886108,0.731725,34.189961,44.682471
11769396,18:11:01.30,0,0,Main,-1.133683,503.484764,0.000000,0.321372,1394.187799,0.000000,99.322877,-0.192343,1.072017,25.254602,1.881432,0.732645,34.189961,44.682471
11769398,18:11:01.30,0,0,Main,-1.133683,503.484764,0.000000,0.321372,1394.187799,0.000000,99.322877,-0.192343,1.072017,25.254602,1.881432,0.732645,34.189961,44.682471
11769402,18:11:01.30,0,0,Main,-0.951739,503.392914,0.000000,1.028714,1393.826550,0.000000,99.000014,-0.107737,1.001262,25.251185,1.881678,0.732721,33.928774,44.682471
11769428,18:11:01.30,0,0,Main,-1.361113,502.566256,0.000000,2.490553,1394.097487,0.000000,99.415124,-0.169269,1.347175,25.236664,1.883893,0.735252,33.928774,44.941329
11769431,18:11:01.30,0,0,Main,-1.361113,502.566256,0.000000,2.490553,1394.097487,0.000000,99.415124,-0.169269,1.347175,25.236664,1.883893,0.735252,33.928774,44.941329
11769432,18:11:01.30,0,0,Main,-1.361113,502.566256,0.000000,2.490553,1394.097487,0.000000,99.415124,-0.169269,1.347175,25.236664,1.883893,0.735252,33.928774,44.941329
