Timestamp (ms),Wall Time,Test Master Time,Sequence Time,FPD-1,FPD-2,FPD-3,OPD-1,OPD-2,OPD-3,AP-1,PC-1,PC-2,VBAT
57195372,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.267297,1.683348,18.859663,0.042901,25.357779
57195392,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265167,1.454567,18.808820,0.041608,25.356931
57195422,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265167,1.454567,18.808820,0.041608,25.356931
57195443,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265167,1.454567,18.808820,0.041608,25.356931
57195472,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265167,1.454567,18.808820,0.041608,25.356931
57196222,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264406,1.820616,18.844410,0.038566,25.356931
57196232,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264406,1.820616,18.844410,0.038566,25.356931
57196292,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264482,1.500323,18.928724,0.040848,25.358202
57196332,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264482,1.500323,18.928724,0.040848,25.358202
57196482,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.260907,0.630957,18.843562,0.041836,25.360321
57196492,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.260907,0.630957,18.843562,0.041836,25.360321
57196512,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.260907,0.630957,18.843562,0.041836,25.360321
57196522,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.260907,0.630957,18.843562,0.041836,25.360321
57196542,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.260907,0.630957,18.843562,0.041836,25.360321
57197292,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264102,0.768225,18.876186,0.039707,25.358626
57197302,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264102,0.768225,18.876186,0.039707,25.358626
57197322,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266156,1.454567,18.908811,0.040848,25.365405
57197362,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266156,1.454567,18.908811,0.040848,25.365405
57197382,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266156,1.454567,18.908811,0.040848,25.365405
57197392,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266156,1.454567,18.908811,0.040848,25.365405
57197402,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266156,1.454567,18.908811,0.040848,25.365405
57197432,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266156,1.454567,18.908811,0.040848,25.365405
57197462,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264787,1.134274,18.855849,0.041912,25.356931
57197592,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.267449,0.951250,18.747385,0.043358,25.362863
57198282,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265928,1.637592,18.813481,0.040924,25.356508
57198292,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265928,1.637592,18.813481,0.040924,25.356508
57198302,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265928,1.637592,18.813481,0.040924,25.356508
57198392,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264710,0.722469,18.897371,0.041000,25.362439
57198402,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264710,0.722469,18.897371,0.041000,25.362439
57198422,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264710,0.722469,18.897371,0.041000,25.362439
57198432,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264710,0.722469,18.897371,0.041000,25.362439
57198452,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264710,0.722469,18.897371,0.041000,25.362439
57198502,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264102,1.729104,18.878729,0.043053,25.357779
57199323,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265699,0.951250,18.781704,0.041760,25.356084
57200122,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.262657,1.042762,18.870679,0.037881,25.352695
